itemnameid,lvl
Armor_Copper_Chest,1
Armor_Copper_Hands,1
Armor_Copper_Head,1
Armor_Copper_Legs,1
Weapon_Arrow_Crude,1
Weapon_Axe_Copper,1
Weapon_Axe_Crude,1
Weapon_Battleaxe_Copper,1
Weapon_Battleaxe_Crude,1
Weapon_Club_Copper,1
Weapon_Club_Crude,1
Weapon_Club_Scrap,1
Weapon_Daggers_Copper,1
Weapon_Daggers_Crude,1
Weapon_Longsword_Copper,1
Weapon_Longsword_Crude,1
Weapon_Mace_Copper,1
Weapon_Mace_Crude,1
Weapon_Shield_Copper,1
Weapon_Shortbow_Copper,1
Weapon_Shortbow_Crude,1
Weapon_Spear_Copper,1
Weapon_Spear_Crude,1
Weapon_Staff_Copper,1
Weapon_Sword_Copper,1
Weapon_Sword_Crude,1
Armor_Woolen_Chest,5
Armor_Woolen_Hands,5
Armor_Woolen_Head,5
Armor_Woolen_Legs,5
Armor_Wool_Chest,9
Armor_Wool_Hands,9
Armor_Wool_Head,9
Armor_Wool_Legs,9
Armor_Wood_Chest,12
Armor_Wood_Hands,12
Armor_Wood_Head,12
Armor_Wood_Legs,12
Weapon_Battleaxe_Wood_Fence,12
Weapon_Shield_Wood,12
Weapon_Staff_Bo_Wood,12
Weapon_Staff_Wood,12
Weapon_Staff_Wood_Rotten,12
Weapon_Sword_Wood,12
Weapon_Wand_Root,12
Weapon_Wand_Wood,12
Weapon_Wand_Wood_Rotten,12
Armor_Kweebec_Chest,16
Armor_Kweebec_Hands,16
Armor_Kweebec_Head,16
Armor_Kweebec_Legs,16
Weapon_Staff_Bo_Bamboo,16
Weapon_Staff_Wood_Kweebec,16
Armor_Cloth_Cotton_Chest,20
Armor_Cloth_Cotton_Hands,20
Armor_Cloth_Cotton_Head,20
Armor_Cloth_Cotton_Legs,20
Weapon_Axe_Bone,20
Weapon_Club_Zombie_Arm,20
Weapon_Club_Zombie_Leg,20
Weapon_Daggers_Bone,20
Weapon_Daggers_Claw_Bone,20
Weapon_Spear_Bone,20
Weapon_Spear_Fishbone,20
Weapon_Spear_Leaf,20
Weapon_Staff_Bone,20
Weapon_Staff_Onion,20
Weapon_Sword_Bone,20
Armor_Cloth_Linen_Chest,24
Armor_Cloth_Linen_Hands,24
Armor_Cloth_Linen_Head,24
Armor_Cloth_Linen_Legs,24
Halloween_Broomstick,24
Weapon_Axe_Tribal,24
Weapon_Battleaxe_Tribal,24
Weapon_Blowgun_Tribal,24
Weapon_Bomb_Popberry,24
Weapon_Claws_Tribal,24
Weapon_Club_Tribal,24
Weapon_Club_Zombie_Sand_Arm,24
Weapon_Club_Zombie_Sand_Leg,24
Weapon_Dart_Tribal,24
Weapon_Longsword_Tribal,24
Weapon_Shortbow_Pull,24
Weapon_Spear_Tribal,24
Weapon_Staff_Cane,24
Weapon_Wand_Tribal,24
Armor_Leather_Light_Chest,28
Armor_Leather_Light_Hands,28
Armor_Leather_Light_Head,28
Armor_Leather_Light_Legs,28
Armor_Leather_Medium_Chest,31
Armor_Leather_Medium_Hands,31
Armor_Leather_Medium_Head,31
Armor_Leather_Medium_Legs,31
Armor_Leather_Heavy_Chest,35
Armor_Leather_Heavy_Hands,35
Armor_Leather_Heavy_Head,35
Armor_Leather_Heavy_Legs,35
Armor_Leather_Raven_Chest,39
Armor_Leather_Raven_Hands,39
Armor_Leather_Raven_Head,39
Armor_Leather_Raven_Legs,39
Armor_Leather_Soft_Chest,43
Armor_Leather_Soft_Hands,43
Armor_Leather_Soft_Head,43
Armor_Leather_Soft_Legs,43
Armor_Diving_Crude_Chest,46
Armor_Diving_Crude_Hands,46
Armor_Diving_Crude_Head,46
Armor_Diving_Crude_Legs,46
Weapon_Axe_Iron_Rusty,46
Weapon_Battleaxe_Steel_Rusty,46
Weapon_Club_Iron_Rusty,46
Weapon_Club_Steel_Flail_Rusty,46
Weapon_Club_Zombie_Burnt_Arm,46
Weapon_Club_Zombie_Burnt_Leg,46
Weapon_Gun_Blunderbuss_Rusty,46
Weapon_Mace_Scrap,46
Weapon_Mace_Scrap_NPC,46
Weapon_Shield_Rusty,46
Weapon_Shield_Scrap,46
Weapon_Shield_Scrap_Spiked,46
Weapon_Shortbow_Iron_Rusty,46
